"URL","Title","Character Length","Pixel Length","Description","Character Length","Pixel Length"
"https://takemobil.ru/index","Подготовка к мобилизации | список вещей","39","409","Сайт подготовки списка вещей первой необходимости. Предлагается к обсуждению.","77","561"
"https://takemobil.ru/register","Подготовка к мобилизации: Регистрация","37","392","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/login","Подготовка к мобилизации: Зайти","31","328","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/articlesMain.html","Подготовка к мобилизации: Статьи по теме","40","418","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/7","Подготовка к мобилизации: Правильное использование жгута Альфа (Бубнова) с замыкателем Руд","90","952","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/main.html","Подготовка к мобилизации: Список вещей","38","407","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/8","Подготовка к мобилизации: Жгут ""Альфа"" с замыкателем Руднева.","61","637","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/articlesMain.html?page=1","Подготовка к мобилизации: Статьи по теме","40","418","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/5","","0","0","","0","0"
"https://takemobil.ru/editarticle.html/4","Подготовка к мобилизации: Личная гигиена - что берут профи","58","592","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/3","Подготовка к мобилизации: Солнцепек","35","376","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/6","Подготовка к мобилизации: Все о гемостатиках. Как? Для чего? Зачем?","67","681","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/1","Подготовка к мобилизации: NVP73 Что взять с собой в случае мобилизации","70","726","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/2","Подготовка к мобилизации: Комплектация аптечки бойца | Лекция Влада Харригана","77","811","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/main.html?page=2","Подготовка к мобилизации: Список вещей","38","407","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/main.html?page=1","Подготовка к мобилизации: Список вещей","38","407","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/reset_password_request","Подготовка к мобилизации: Sign IN","33","334","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/4?page=1","","0","0","","0","0"
"https://takemobil.ru/editarticle.html/1?page=1","Подготовка к мобилизации: NVP73 Что взять с собой в случае мобилизации","70","726","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/3?page=1","Подготовка к мобилизации: Солнцепек","35","376","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/7?page=1","Подготовка к мобилизации: Правильное использование жгута Альфа (Бубнова) с замыкателем Руд","90","952","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/8?page=1","Подготовка к мобилизации: Жгут ""Альфа"" с замыкателем Руднева.","61","637","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/6?page=1","Подготовка к мобилизации: Все о гемостатиках. Как? Для чего? Зачем?","67","681","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
"https://takemobil.ru/editarticle.html/2?page=1","Подготовка к мобилизации: Комплектация аптечки бойца | Лекция Влада Харригана","77","811","Сайт подготовки к мобилизации, список вещей первой необходимости. Предлагается к обсуждению.","92","667"
